feature1,feature2,y
0.000582519,1.080647591,1
0.000504979,0.936801085,1
0.000579301,1.074676175,1
0.00050272,0.932610362,1
0.000541419,1.004401199,1
0.000626197,1.161674579,1
0.000401806,0.745400811,1
0.00070978,1.316731926,1
0.000688443,1.277149227,1
0.000206142,0.382419472,1
-0.000598834,-1.110914118,0
-0.000401239,-0.744350025,0
-0.00015192,-0.281830515,0
-0.000649101,-1.204164672,0
-0.000719855,-1.335422569,0
-0.000459613,-0.852640526,0
-0.000445522,-0.826499966,0
-0.000379164,-0.703397208,0
-0.000649621,-1.205129788,0
-0.000397958,-0.738263004,0
-0.000475012,-0.881206887,0
-0.000494678,-0.917690832,0
-0.000518994,-0.96279967,0
-0.000398802,-0.739828477,0
-0.000657162,-1.219118592,0
-0.000635345,-1.178646589,0
-0.000181553,-0.33680327,0
-0.000493585,-0.91566297,0
-0.000600413,-1.113842841,0
-0.000587802,-1.09044658,0
-0.000539597,-1.001020166,0
-0.00060258,-1.117863389,0
-0.00035818,-0.664468913,0
-0.000802357,-1.488473906,0
-0.000358863,-0.665736224,0
-0.000378423,-0.70202299,0
-0.000308929,-0.573103159,0
-0.000279754,-0.518979247,0
-0.00042694,-0.79202806,0
-0.000793193,-1.471474306,0
-0.000806154,-1.495517392,0
-0.000411857,-0.764047521,0
-0.00088458,-1.641009175,0
-0.000638037,-1.183640396,0
-0.000549498,-1.019388349,0
-0.000766194,-1.421387548,0
-0.000603168,-1.118954164,0
-0.000751304,-1.393764641,0
-0.00087698,-1.626909128,0
-0.000647958,-1.202045343,0
-0.000584138,-1.083649523,0
-0.000623996,-1.157591593,0
-0.000520967,-0.966459628,0
-0.000240556,-0.44626189,0
-0.000616355,-1.143416926,0
-0.000466032,-0.864549082,0
-0.000533145,-0.989051496,0
-0.000557953,-1.035074118,0
-0.000749538,-1.390487521,0
-0.000445253,-0.826001566,0
-0.000595094,-1.103974667,0
-0.000248811,-0.461575686,0
-0.0005103,-0.946672101,0
-0.000447552,-0.830265047,0
-0.000372227,-0.690528346,0
-0.00057062,-1.058571878,0
-0.000748936,-1.389370682,0
-0.000286768,-0.531991617,0
-0.000496661,-0.921370161,0
-0.000714259,-1.325041508,0
-0.000387432,-0.7187357,0
-0.000592241,-1.09868302,0
-0.000598233,-1.10979743,0
-0.000680067,-1.261611427,0
-0.000646824,-1.19994161,0
-0.000395936,-0.734512079,0
-0.00041862,-0.776592456,0
-0.000494249,-0.916895513,0
-0.00062056,-1.151218562,0
-0.000378993,-0.703080333,0
-0.00084911,-1.575206209,0
-0.000466837,-0.866041153,0
-0.000916162,-1.699597285,0
-0.000230657,-0.427898702,0
-0.00047893,-0.888475881,0
-0.000367958,-0.68260927,0
-0.000344019,-0.638198696,0
-0.00044999,-0.83478801,0
-0.000508571,-0.943463512,0
-0.000398588,-0.739431138,0
-0.000460719,-0.854691574,0
-0.000281573,-0.522354303,0
-0.000376075,-0.697666713,0
-0.000612437,-1.136148797,0
-0.000239468,-0.444243803,0
-0.000340988,-0.632576277,0
-0.000325191,-0.603270113,0
-0.000731778,-1.357540724,0
-0.00045013,-0.83504764,0
-0.000707795,-1.313049254,0
-0.000631332,-1.171201002,0
-0.000431497,-0.800481597,0
-0.000786612,-1.459264531,0
-0.00065192,-1.209394738,0
-0.000542118,-1.005697134,0
-0.00032062,-0.594790449,0
-0.00055267,-1.025273441,0
-0.000452301,-0.839075702,0
-0.000897356,-1.664709983,0
-0.000430276,-0.798216456,0
-0.000621219,-1.152440871,0
-0.000622949,-1.155650506,0
-0.000757894,-1.405990641,0
-0.000794016,-1.473001018,0
-0.00048684,-0.903150766,0
-0.000603823,-1.120167969,0
-0.000120674,-0.223864787,0
-0.000709916,-1.316984225,0
-0.000500014,-0.927590054,0
-0.000462618,-0.858215704,0
-0.000531951,-0.986836186,0
-0.000412552,-0.765336607,0
-5.27E-05,-0.097825098,0
-0.000637207,-1.18209998,0
-0.000374414,-0.69458588,0
-0.000677424,-1.25670732,0
-0.000777019,-1.441468215,0
-0.000415207,-0.770262173,0
-0.000548107,-1.016807312,0
-0.000795187,-1.475173574,0
-0.000274094,-0.508479749,0
-0.000899763,-1.669174398,0
-0.000493879,-0.916208702,0
-0.000710008,-1.317155699,0
-0.000710329,-1.317749988,0
-0.000484772,-0.89931446,0
-0.000345017,-0.640049591,0
-0.000516906,-0.958926476,0
-0.000455817,-0.845597613,0
-0.000696371,-1.291855935,0
-0.000765554,-1.42019971,0
-0.000475544,-0.882193776,0
-0.000352284,-0.653531008,0
-0.000593843,-1.101653698,0
-0.000457468,-0.848660951,0
-0.000294977,-0.547219167,0
-0.000850465,-1.57772056,0
-0.00069924,-1.297179119,0
-0.000612858,-1.136930007,0
-0.000155661,-0.288770339,0
-0.000750837,-1.392898149,0
-0.000557251,-1.033770987,0
-0.000883875,-1.639699763,0
-0.000635661,-1.179232,0
-0.000633114,-1.174507832,0
-0.000591251,-1.096845023,0
-0.000620722,-1.151518293,0
-0.00043843,-0.813342657,0
-0.000510055,-0.946217514,0
-0.000427386,-0.792856251,0
-0.000907629,-1.683767122,0
-0.000388887,-0.721435757,0
-0.000740243,-1.3732442,0
-0.000525996,-0.975789723,0
-0.000924944,-1.715888449,0
-0.000319766,-0.593205827,0
-0.000450621,-0.835958473,0
-0.000609101,-1.129960314,0
-0.000374282,-0.694341274,0
-0.00058572,-1.086585003,0
-0.000353475,-0.655740956,0
-0.0006561,-1.217148724,0
-0.000408587,-0.757980484,0
-0.000214588,-0.398087985,0
-0.000605181,-1.122686934,0
-0.000665272,-1.234164448,0
-0.000300542,-0.557544005,0
-0.000644148,-1.194975713,0
-0.000445044,-0.825612699,0
-0.000633032,-1.174354296,0
-6.44E-05,-0.11954277,0
-0.000548874,-1.018231841,0
-0.000811275,-1.505018409,0
-0.000637186,-1.182061101,0
-0.000568963,-1.055498446,0
-0.000702124,-1.302528909,0
-0.00054085,-1.00334516,0
-0.000549585,-1.019550596,0
-0.000786916,-1.459828446,0
-0.000525061,-0.97405407,0
-0.000550883,-1.021957599,0
-0.000745565,-1.383117439,0
-0.000343685,-0.637579618,0
-0.00042565,-0.789635309,0
-0.00049859,-0.924948571,0
-0.000447822,-0.830766783,0
-0.000327857,-0.608216105,0
-0.00052591,-0.975630549,0
-0.000873785,-1.620981483,0
-0.00035532,-0.659163292,0
-0.000434827,-0.806659231,0
-0.000558717,-1.036490665,0
-0.000642342,-1.191625764,0
-0.000351046,-0.651235569,0
-0.000489719,-0.908491337,0
-0.000453539,-0.8413724,0
-0.000587774,-1.090395522,0
-0.000684624,-1.27006393,0
-0.000620166,-1.150487149,0
-0.000456623,-0.847093231,0
-0.000577699,-1.071705324,0
-0.000511653,-0.949180546,0
-0.00035968,-0.667251407,0
-0.000488763,-0.90671714,0
